epoch,train_loss,train_crack_iou,train_crack_dice,train_tap_iou,train_tap_dice,val_crack_iou,val_crack_dice,val_tap_iou,val_tap_dice
1,0.6474458542007666,0.40754421707332655,0.5526180987818274,0.4399738433584571,0.5904660486926635,0.39676289076777993,0.5396573504297868,0.4066736542276646,0.5589701321564222
2,0.5649222310919028,0.4085757548563062,0.5546382070106999,0.3145298816263676,0.4538476205120484,0.3961159419129581,0.5380027124623321,0.30889050780158295,0.4518289305269718
3,0.5385160418657157,0.4311413598341705,0.5798098239218398,0.37741811230778693,0.5245831611255805,0.4187409811485351,0.5645776994398645,0.3887596337222739,0.5405379807282436
4,0.502218415760077,0.4673990181933047,0.612610846533495,0.46258737735450267,0.6048402252793312,0.4525937455777967,0.5940546215620661,0.43166195503190946,0.5724554499121088
5,0.44558537350251126,0.49908765033201385,0.6434265583460586,0.5961935666696809,0.7086922447709366,0.47918877484458106,0.6226677219049211,0.49297388307260054,0.6078184797967735
6,0.3981715375987383,0.5419696169758864,0.6830288604111149,0.7036415126174689,0.8125168484946091,0.507562496435973,0.6488277094511641,0.6376996493261111,0.7569089978933334
7,0.37580408964019557,0.5458386905618232,0.6847905932446899,0.7135058479259412,0.8228854978581269,0.5084492482387564,0.6510900559417749,0.6378529847256447,0.7604625881894639
8,0.36060037217461144,0.5544667840129539,0.6925381319618292,0.7015609903136889,0.8147475125392278,0.5107128856101324,0.6511792996007075,0.6422773129061649,0.7649795040488243
9,0.342575549105039,0.5722524332751133,0.7072750524293339,0.7282031785696745,0.8311359326044718,0.5207209453403362,0.6612930119162399,0.6496541564793963,0.7693424801293173
10,0.3382421504419584,0.5814734463302649,0.7168660650134422,0.7494358706474304,0.8453313985466957,0.5303098821338189,0.6715836245863679,0.667240286540044,0.7830346893323096
11,0.3103327188927394,0.6017422891996299,0.7353636402511194,0.7905739718675613,0.8756558172901472,0.539552616876397,0.6795135559469604,0.7030863275163268,0.8112802357461891
12,0.29582234368874477,0.6155156519933698,0.7443646381996321,0.7946102707584699,0.879251916607221,0.5466087521833666,0.6843196367711256,0.706406753118101,0.8138652192918878
13,0.28585886743206246,0.6244634251790435,0.7536386186277934,0.7958120044569175,0.8794799793263276,0.5482019888329211,0.6873387749644035,0.7072619713450733,0.8145950111119371
14,0.28266836926341055,0.6209596809303242,0.7489435127428785,0.803469909230868,0.8856257518132528,0.539534303894418,0.6793085124189155,0.6962709611183718,0.8048905494966005
15,0.27031588961298647,0.6223377970455403,0.7502536522119903,0.8132509031146765,0.8897090841829777,0.5411655888918704,0.6789294596682741,0.7083850838243961,0.8138037249445915
16,0.25309751274494025,0.6513838839309102,0.7744328794938125,0.8189007122814655,0.8949937698245048,0.5483572698405096,0.6868089599664096,0.709768779183689,0.8148035787438092
17,0.2489920109223861,0.64892894469955,0.7718332213757748,0.8364872065683205,0.9057470825314522,0.549097471991539,0.6863939674642454,0.7338340364788708,0.834617439069246
18,0.24190933652795277,0.6630002465015382,0.7837956233222163,0.8402555123964945,0.9087380918860436,0.5550725726675141,0.6938824569256872,0.7240913214260026,0.8244612087544642
19,0.23756189088408763,0.6693832262429629,0.7885546878649947,0.8392262991269429,0.9088471400737762,0.5541444592934196,0.6921499072857412,0.7308157156956824,0.8301330436217157
20,0.23131803314273175,0.6724993615222865,0.7906657453165965,0.8423659139374892,0.9114362798134485,0.5599042542781562,0.6975361628149134,0.7318277939369804,0.8336956002994588
21,0.22581651786772106,0.6796862932445293,0.7969861281972923,0.8586123177409172,0.9215557879209518,0.5639825837844107,0.7010763242805118,0.7423422826748145,0.8408618843869159
22,0.21999003027494138,0.685742967538117,0.8014481301220615,0.846731327821811,0.9134254078070323,0.5603305462452968,0.6975563631624732,0.7289899627825147,0.8285709746966237
23,0.21516923990387182,0.6817583712906148,0.7982484322365666,0.8404196998476983,0.9091209187110265,0.5608336278489914,0.6974759817968584,0.7207144340990406,0.824237278613605
24,0.21360157759716877,0.6907326776869176,0.8049752416235677,0.84764442106088,0.9137328260143598,0.5674478895869403,0.7031396254533203,0.7275033340250191,0.82833961907186
